system_name,edsm_status,direction,steps_from_edge,edge_number,family,subsector,mass_prefix,number
Pha Aeb FL-P e5-1,not_in_edsm,forward,1,0,Pha Aeb FL-P,FL-P,e5,1
Pha Aeb FL-X b1-1,not_in_edsm,forward,1,0,Pha Aeb FL-X,FL-X,b1,1
Pha Aeb FL-X c1-1,not_in_edsm,forward,1,0,Pha Aeb FL-X,FL-X,c1,1
Pha Aeb FM-D c12-1,not_in_edsm,forward,1,0,Pha Aeb FM-D,FM-D,c12,1
Pha Aeb FM-D d12-1,not_in_edsm,forward,1,0,Pha Aeb FM-D,FM-D,d12,1
Pha Aeb FM-L c21-1,not_in_edsm,forward,1,0,Pha Aeb FM-L,FM-L,c21,1
Pha Aeb FM-M c7-1,not_in_edsm,forward,1,0,Pha Aeb FM-M,FM-M,c7,1
Pha Aeb FM-P b5-1,not_in_edsm,forward,1,0,Pha Aeb FM-P,FM-P,b5,1
Pha Aeb FM-V c2-1,not_in_edsm,forward,1,0,Pha Aeb FM-V,FM-V,c2,1
Pha Aeb FN-B c13-1,not_in_edsm,forward,1,0,Pha Aeb FN-B,FN-B,c13,1
Pha Aeb FN-B d13-4,not_in_edsm,forward,1,3,Pha Aeb FN-B,FN-B,d13,4
Pha Aeb FN-S c17-1,not_in_edsm,forward,1,0,Pha Aeb FN-S,FN-S,c17,1
Pha Aeb FN-W b1-1,not_in_edsm,forward,1,0,Pha Aeb FN-W,FN-W,b1,1
Pha Aeb FN-W c1-1,not_in_edsm,forward,1,0,Pha Aeb FN-W,FN-W,c1,1
Pha Aeb FN-Z c27-1,not_in_edsm,forward,1,0,Pha Aeb FN-Z,FN-Z,c27,1
Pha Aeb FO-G c24-1,not_in_edsm,forward,1,0,Pha Aeb FO-G,FO-G,c24,1
Pha Aeb FO-T c3-1,not_in_edsm,forward,1,0,Pha Aeb FO-T,FO-T,c3,1
Pha Aeb FO-X c28-1,not_in_edsm,forward,1,0,Pha Aeb FO-X,FO-X,c28,1
Pha Aeb FP-E c25-1,not_in_edsm,forward,1,0,Pha Aeb FP-E,FP-E,c25,1
Pha Aeb FP-I c9-1,not_in_edsm,forward,1,0,Pha Aeb FP-I,FP-I,c9,1
Pha Aeb FP-R c4-1,not_in_edsm,forward,1,0,Pha Aeb FP-R,FP-R,c4,1
Pha Aeb FP-R d4-1,not_in_edsm,forward,1,0,Pha Aeb FP-R,FP-R,d4,1
Pha Aeb FP-Z c13-1,not_in_edsm,forward,1,0,Pha Aeb FP-Z,FP-Z,c13,1
Pha Aeb FQ-E c25-1,not_in_edsm,forward,1,0,Pha Aeb FQ-E,FQ-E,c25,1
Pha Aeb FQ-G c10-1,not_in_edsm,forward,1,0,Pha Aeb FQ-G,FQ-G,c10,1
Pha Aeb FQ-G d10-3,not_in_edsm,forward,1,2,Pha Aeb FQ-G,FQ-G,d10,3
Pha Aeb FQ-P b5-1,not_in_edsm,forward,1,0,Pha Aeb FQ-P,FQ-P,b5,1
Pha Aeb FQ-P c5-1,not_in_edsm,forward,1,0,Pha Aeb FQ-P,FQ-P,c5,1
Pha Aeb FQ-P d5-2,not_in_edsm,forward,1,1,Pha Aeb FQ-P,FQ-P,d5,2
Pha Aeb FQ-X c1-1,not_in_edsm,forward,1,0,Pha Aeb FQ-X,FQ-X,c1,1
Pha Aeb FR-C c26-1,not_in_edsm,forward,1,0,Pha Aeb FR-C,FR-C,c26,1
Pha Aeb FR-D d12-1,not_in_edsm,forward,1,0,Pha Aeb FR-D,FR-D,d12,1
Pha Aeb FR-M c7-1,not_in_edsm,forward,1,0,Pha Aeb FR-M,FR-M,c7,1
Pha Aeb FR-N c6-2,not_in_edsm,forward,1,1,Pha Aeb FR-N,FR-N,c6,2
Pha Aeb FR-N d6-3,not_in_edsm,forward,1,2,Pha Aeb FR-N,FR-N,d6,3
Pha Aeb FR-N e6-1,not_in_edsm,forward,1,0,Pha Aeb FR-N,FR-N,e6,1
Pha Aeb FR-V d2-1,not_in_edsm,forward,1,0,Pha Aeb FR-V,FR-V,d2,1
Pha Aeb FS-B c13-1,not_in_edsm,forward,1,0,Pha Aeb FS-B,FS-B,c13,1
Pha Aeb FS-J c22-1,not_in_edsm,forward,1,0,Pha Aeb FS-J,FS-J,c22,1
Pha Aeb FS-K c8-1,not_in_edsm,forward,1,0,Pha Aeb FS-K,FS-K,c8,1
Pha Aeb FS-K d8-1,not_in_edsm,forward,1,0,Pha Aeb FS-K,FS-K,d8,1
Pha Aeb FS-N b6-1,not_in_edsm,forward,1,0,Pha Aeb FS-N,FS-N,b6,1
Pha Aeb FS-N c6-1,not_in_edsm,forward,1,0,Pha Aeb FS-N,FS-N,c6,1
Pha Aeb FS-S c17-1,not_in_edsm,forward,1,0,Pha Aeb FS-S,FS-S,c17,1
Pha Aeb FS-W b1-1,not_in_edsm,forward,1,0,Pha Aeb FS-W,FS-W,b1,1
Pha Aeb FS-W c1-1,not_in_edsm,forward,1,0,Pha Aeb FS-W,FS-W,c1,1
Pha Aeb FT-Q c18-1,not_in_edsm,forward,1,0,Pha Aeb FT-Q,FT-Q,c18,1
Pha Aeb FT-T c3-1,not_in_edsm,forward,1,0,Pha Aeb FT-T,FT-T,c3,1
Pha Aeb FT-U b2-1,not_in_edsm,forward,1,0,Pha Aeb FT-U,FT-U,b2,1
Pha Aeb FT-U c2-1,not_in_edsm,forward,1,0,Pha Aeb FT-U,FT-U,c2,1
Pha Aeb FT-X c28-1,not_in_edsm,forward,1,0,Pha Aeb FT-X,FT-X,c28,1
Pha Aeb FU-E c25-1,not_in_edsm,forward,1,0,Pha Aeb FU-E,FU-E,c25,1
Pha Aeb FU-I c9-1,not_in_edsm,forward,1,0,Pha Aeb FU-I,FU-I,c9,1
Pha Aeb FU-Q c18-1,not_in_edsm,forward,1,0,Pha Aeb FU-Q,FU-Q,c18,1
Pha Aeb FU-R c4-1,not_in_edsm,forward,1,0,Pha Aeb FU-R,FU-R,c4,1
Pha Aeb FU-U b2-1,not_in_edsm,forward,1,0,Pha Aeb FU-U,FU-U,b2,1
Pha Aeb FU-Z c13-1,not_in_edsm,forward,1,0,Pha Aeb FU-Z,FU-Z,c13,1
Pha Aeb FV-G c10-1,not_in_edsm,forward,1,0,Pha Aeb FV-G,FV-G,c10,1
Pha Aeb FV-G d10-2,not_in_edsm,forward,1,1,Pha Aeb FV-G,FV-G,d10,2
Pha Aeb FV-P d5-1,not_in_edsm,forward,1,0,Pha Aeb FV-P,FV-P,d5,1
Pha Aeb FV-X c14-1,not_in_edsm,forward,1,0,Pha Aeb FV-X,FV-X,c14,1
Pha Aeb FW-C c26-1,not_in_edsm,forward,1,0,Pha Aeb FW-C,FW-C,c26,1
Pha Aeb FW-D d12-1,not_in_edsm,forward,1,0,Pha Aeb FW-D,FW-D,d12,1
Pha Aeb FW-E b11-1,not_in_edsm,forward,1,0,Pha Aeb FW-E,FW-E,b11,1
Pha Aeb FW-E c11-1,not_in_edsm,forward,1,0,Pha Aeb FW-E,FW-E,c11,1
Pha Aeb FW-E d11-3,not_in_edsm,forward,1,2,Pha Aeb FW-E,FW-E,d11,3
Pha Aeb FW-M d7-1,not_in_edsm,forward,1,0,Pha Aeb FW-M,FW-M,d7,1
Pha Aeb FW-N b6-1,not_in_edsm,forward,1,0,Pha Aeb FW-N,FW-N,b6,1
Pha Aeb FW-N d6-3,not_in_edsm,forward,1,2,Pha Aeb FW-N,FW-N,d6,3
Pha Aeb FW-W b1-1,not_in_edsm,forward,1,0,Pha Aeb FW-W,FW-W,b1,1
Pha Aeb FW-W c1-2,not_in_edsm,forward,1,1,Pha Aeb FW-W,FW-W,c1,2
Pha Aeb FW-W d1-3,not_in_edsm,forward,1,2,Pha Aeb FW-W,FW-W,d1,3
Pha Aeb FX-A c27-1,not_in_edsm,forward,1,0,Pha Aeb FX-A,FX-A,c27,1
Pha Aeb FX-B c13-1,not_in_edsm,forward,1,0,Pha Aeb FX-B,FX-B,c13,1
Pha Aeb FX-E b11-1,not_in_edsm,forward,1,0,Pha Aeb FX-E,FX-E,b11,1
Pha Aeb FX-J c22-1,not_in_edsm,forward,1,0,Pha Aeb FX-J,FX-J,c22,1
Pha Aeb FX-K c8-1,not_in_edsm,forward,1,0,Pha Aeb FX-K,FX-K,c8,1
Pha Aeb FX-K d8-1,not_in_edsm,forward,1,0,Pha Aeb FX-K,FX-K,d8,1
Pha Aeb FX-N c6-1,not_in_edsm,forward,1,0,Pha Aeb FX-N,FX-N,c6,1
Pha Aeb FX-W c1-1,not_in_edsm,forward,1,0,Pha Aeb FX-W,FX-W,c1,1
Pha Aeb FY-H c23-1,not_in_edsm,forward,1,0,Pha Aeb FY-H,FY-H,c23,1
Pha Aeb FY-L c7-1,not_in_edsm,forward,1,0,Pha Aeb FY-L,FY-L,c7,1
Pha Aeb FY-Q c18-1,not_in_edsm,forward,1,0,Pha Aeb FY-Q,FY-Q,c18,1
Pha Aeb FY-U c2-1,not_in_edsm,forward,1,0,Pha Aeb FY-U,FY-U,c2,1
Pha Aeb FY-Z c13-1,not_in_edsm,forward,1,0,Pha Aeb FY-Z,FY-Z,c13,1
Pha Aeb FY-Z d13-3,not_in_edsm,forward,1,2,Pha Aeb FY-Z,FY-Z,d13,3
Pha Aeb FZ-R b4-1,not_in_edsm,forward,1,0,Pha Aeb FZ-R,FZ-R,b4,1
Pha Aeb FZ-R c4-1,not_in_edsm,forward,1,0,Pha Aeb FZ-R,FZ-R,c4,1
Pha Aeb FZ-S b3-1,not_in_edsm,forward,1,0,Pha Aeb FZ-S,FZ-S,b3,1
Pha Aeb FZ-S c3-2,not_in_edsm,forward,1,1,Pha Aeb FZ-S,FZ-S,c3,2
Pha Aeb FZ-S d3-3,not_in_edsm,forward,1,2,Pha Aeb FZ-S,FZ-S,d3,3
Pha Aeb GA-D c26-1,not_in_edsm,forward,1,0,Pha Aeb GA-D,GA-D,c26,1
Pha Aeb GA-H c10-1,not_in_edsm,forward,1,0,Pha Aeb GA-H,GA-H,c10,1
Pha Aeb GA-P c19-1,not_in_edsm,forward,1,0,Pha Aeb GA-P,GA-P,c19,1
Pha Aeb GA-Q c5-1,not_in_edsm,forward,1,0,Pha Aeb GA-Q,GA-Q,c5,1
Pha Aeb GA-Q d5-1,not_in_edsm,forward,1,0,Pha Aeb GA-Q,GA-Q,d5,1
Pha Aeb GB-F b11-1,not_in_edsm,forward,1,0,Pha Aeb GB-F,GB-F,b11,1
Pha Aeb GB-F c11-1,not_in_edsm,forward,1,0,Pha Aeb GB-F,GB-F,c11,1
Pha Aeb GB-F d11-2,not_in_edsm,forward,1,1,Pha Aeb GB-F,GB-F,d11,2
Pha Aeb GB-O c6-1,not_in_edsm,forward,1,0,Pha Aeb GB-O,GB-O,c6,1
Pha Aeb GB-W c15-1,not_in_edsm,forward,1,0,Pha Aeb GB-W,GB-W,c15,1
Pha Aeb GB-X b1-1,not_in_edsm,forward,1,0,Pha Aeb GB-X,GB-X,b1,1
Pha Aeb GB-X c1-1,not_in_edsm,forward,1,0,Pha Aeb GB-X,GB-X,c1,1
Pha Aeb GB-X d1-2,not_in_edsm,forward,1,1,Pha Aeb GB-X,GB-X,d1,2
Pha Aeb GC-B c27-1,not_in_edsm,forward,1,0,Pha Aeb GC-B,GC-B,c27,1
Pha Aeb GC-D b12-1,not_in_edsm,forward,1,0,Pha Aeb GC-D,GC-D,b12,1
Pha Aeb GC-D c12-1,not_in_edsm,forward,1,0,Pha Aeb GC-D,GC-D,c12,1
Pha Aeb GC-D d12-4,not_in_edsm,forward,1,3,Pha Aeb GC-D,GC-D,d12,4
Pha Aeb GC-L d8-1,not_in_edsm,forward,1,0,Pha Aeb GC-L,GC-L,d8,1
Pha Aeb GC-M b7-1,not_in_edsm,forward,1,0,Pha Aeb GC-M,GC-M,b7,1
Pha Aeb GC-M c7-1,not_in_edsm,forward,1,0,Pha Aeb GC-M,GC-M,c7,1
Pha Aeb GC-M d7-2,not_in_edsm,forward,1,1,Pha Aeb GC-M,GC-M,d7,2
Pha Aeb GC-U c3-1,not_in_edsm,forward,1,0,Pha Aeb GC-U,GC-U,c3,1
Pha Aeb GC-X c1-1,not_in_edsm,forward,1,0,Pha Aeb GC-X,GC-X,c1,1
Pha Aeb GD-A d14-2,not_in_edsm,forward,1,1,Pha Aeb GD-A,GD-A,d14,2
Pha Aeb GD-D b12-1,not_in_edsm,forward,1,0,Pha Aeb GD-D,GD-D,b12,1
Pha Aeb GD-I c23-1,not_in_edsm,forward,1,0,Pha Aeb GD-I,GD-I,c23,1
Pha Aeb GD-J c9-1,not_in_edsm,forward,1,0,Pha Aeb GD-J,GD-J,c9,1
Pha Aeb GD-V c2-1,not_in_edsm,forward,1,0,Pha Aeb GD-V,GD-V,c2,1
Pha Aeb GD-Z c27-1,not_in_edsm,forward,1,0,Pha Aeb GD-Z,GD-Z,c27,1
Pha Aeb GE-G c24-1,not_in_edsm,forward,1,0,Pha Aeb GE-G,GE-G,c24,1
Pha Aeb GE-K c8-1,not_in_edsm,forward,1,0,Pha Aeb GE-K,GE-K,c8,1
Pha Aeb GE-P c19-1,not_in_edsm,forward,1,0,Pha Aeb GE-P,GE-P,c19,1
Pha Aeb GE-T b3-1,not_in_edsm,forward,1,0,Pha Aeb GE-T,GE-T,b3,1
Pha Aeb GE-T c3-1,not_in_edsm,forward,1,0,Pha Aeb GE-T,GE-T,c3,1
Pha Aeb GF-D c26-1,not_in_edsm,forward,1,0,Pha Aeb GF-D,GF-D,c26,1
Pha Aeb GF-Q c5-1,not_in_edsm,forward,1,0,Pha Aeb GF-Q,GF-Q,c5,1
Pha Aeb GF-R b4-1,not_in_edsm,forward,1,0,Pha Aeb GF-R,GF-R,b4,1
Pha Aeb GF-R c4-1,not_in_edsm,forward,1,0,Pha Aeb GF-R,GF-R,c4,1
Pha Aeb GF-R d4-3,not_in_edsm,forward,1,2,Pha Aeb GF-R,GF-R,d4,3
Pha Aeb GG-F c11-1,not_in_edsm,forward,1,0,Pha Aeb GG-F,GG-F,c11,1
Pha Aeb GG-F d11-1,not_in_edsm,forward,1,0,Pha Aeb GG-F,GG-F,d11,1
Pha Aeb GG-N c20-1,not_in_edsm,forward,1,0,Pha Aeb GG-N,GG-N,c20,1
Pha Aeb GG-O c6-1,not_in_edsm,forward,1,0,Pha Aeb GG-O,GG-O,c6,1
Pha Aeb GG-O d6-1,not_in_edsm,forward,1,0,Pha Aeb GG-O,GG-O,d6,1
Pha Aeb GG-X b1-1,not_in_edsm,forward,1,0,Pha Aeb GG-X,GG-X,b1,1
Pha Aeb GG-X c1-1,not_in_edsm,forward,1,0,Pha Aeb GG-X,GG-X,c1,1
Pha Aeb GG-X d1-1,not_in_edsm,forward,1,0,Pha Aeb GG-X,GG-X,d1,1
Pha Aeb GH-B c27-1,not_in_edsm,forward,1,0,Pha Aeb GH-B,GH-B,c27,1
Pha Aeb GH-C d13-1,not_in_edsm,forward,1,0,Pha Aeb GH-C,GH-C,d13,1
Pha Aeb GH-D c12-1,not_in_edsm,forward,1,0,Pha Aeb GH-D,GH-D,c12,1
Pha Aeb GH-D d12-3,not_in_edsm,forward,1,2,Pha Aeb GH-D,GH-D,d12,3
Pha Aeb GH-M c7-1,not_in_edsm,forward,1,0,Pha Aeb GH-M,GH-M,c7,1
Pha Aeb GH-M d7-1,not_in_edsm,forward,1,0,Pha Aeb GH-M,GH-M,d7,1
Pha Aeb GH-U b16-1,not_in_edsm,forward,1,0,Pha Aeb GH-U,GH-U,b16,1
Pha Aeb GH-U c16-1,not_in_edsm,forward,1,0,Pha Aeb GH-U,GH-U,c16,1
Pha Aeb GH-U d3-1,not_in_edsm,forward,1,0,Pha Aeb GH-U,GH-U,d3,1
Pha Aeb GH-V b2-1,not_in_edsm,forward,1,0,Pha Aeb GH-V,GH-V,b2,1
Pha Aeb GH-V d2-3,not_in_edsm,forward,1,2,Pha Aeb GH-V,GH-V,d2,3
Pha Aeb GI-B c13-1,not_in_edsm,forward,1,0,Pha Aeb GI-B,GI-B,c13,1
Pha Aeb GI-B d13-5,not_in_edsm,forward,1,4,Pha Aeb GI-B,GI-B,d13,5
Pha Aeb GI-D b12-1,not_in_edsm,forward,1,0,Pha Aeb GI-D,GI-D,b12,1
Pha Aeb GI-I c23-1,not_in_edsm,forward,1,0,Pha Aeb GI-I,GI-I,c23,1
Pha Aeb GI-V c2-1,not_in_edsm,forward,1,0,Pha Aeb GI-V,GI-V,c2,1
Pha Aeb GI-Z c27-1,not_in_edsm,forward,1,0,Pha Aeb GI-Z,GI-Z,c27,1
Pha Aeb GJ-B b13-1,not_in_edsm,forward,1,0,Pha Aeb GJ-B,GJ-B,b13,1
Pha Aeb GJ-B c13-1,not_in_edsm,forward,1,0,Pha Aeb GJ-B,GJ-B,c13,1
Pha Aeb GJ-G c24-1,not_in_edsm,forward,1,0,Pha Aeb GJ-G,GJ-G,c24,1
Pha Aeb GJ-K c8-1,not_in_edsm,forward,1,0,Pha Aeb GJ-K,GJ-K,c8,1
Pha Aeb GJ-P c19-1,not_in_edsm,forward,1,0,Pha Aeb GJ-P,GJ-P,c19,1
Pha Aeb GJ-T c3-1,not_in_edsm,forward,1,0,Pha Aeb GJ-T,GJ-T,c3,1
Pha Aeb GJ-X c28-1,not_in_edsm,forward,1,0,Pha Aeb GJ-X,GJ-X,c28,1
Pha Aeb GJ-Y c14-1,not_in_edsm,forward,1,0,Pha Aeb GJ-Y,GJ-Y,c14,1
Pha Aeb GK-E c25-1,not_in_edsm,forward,1,0,Pha Aeb GK-E,GK-E,c25,1
Pha Aeb GK-I c9-1,not_in_edsm,forward,1,0,Pha Aeb GK-I,GK-I,c9,1
Pha Aeb GK-R c4-1,not_in_edsm,forward,1,0,Pha Aeb GK-R,GK-R,c4,1
Pha Aeb GK-R d4-2,not_in_edsm,forward,1,1,Pha Aeb GK-R,GK-R,d4,2
Pha Aeb GL-B c27-1,not_in_edsm,forward,1,0,Pha Aeb GL-B,GL-B,c27,1
Pha Aeb GL-E c25-1,not_in_edsm,forward,1,0,Pha Aeb GL-E,GL-E,c25,1
Pha Aeb GL-F c11-1,not_in_edsm,forward,1,0,Pha Aeb GL-F,GL-F,c11,1
Pha Aeb GL-O b6-1,not_in_edsm,forward,1,0,Pha Aeb GL-O,GL-O,b6,1
Pha Aeb GL-O c6-1,not_in_edsm,forward,1,0,Pha Aeb GL-O,GL-O,c6,1
Pha Aeb GL-O d6-1,not_in_edsm,forward,1,0,Pha Aeb GL-O,GL-O,d6,1
Pha Aeb GL-P b5-1,not_in_edsm,forward,1,0,Pha Aeb GL-P,GL-P,b5,1
Pha Aeb GL-P c5-2,not_in_edsm,forward,1,1,Pha Aeb GL-P,GL-P,c5,2
Pha Aeb GL-P d5-4,not_in_edsm,forward,1,3,Pha Aeb GL-P,GL-P,d5,4
Pha Aeb GL-X c1-1,not_in_edsm,forward,1,0,Pha Aeb GL-X,GL-X,c1,1
Pha Aeb GL-X d1-1,not_in_edsm,forward,1,0,Pha Aeb GL-X,GL-X,d1,1
Pha Aeb GM-C d13-1,not_in_edsm,forward,1,0,Pha Aeb GM-C,GM-C,d13,1
Pha Aeb GM-D c12-1,not_in_edsm,forward,1,0,Pha Aeb GM-D,GM-D,c12,1
Pha Aeb GM-D d12-1,not_in_edsm,forward,1,0,Pha Aeb GM-D,GM-D,d12,1
Pha Aeb GM-L c21-1,not_in_edsm,forward,1,0,Pha Aeb GM-L,GM-L,c21,1
Pha Aeb GM-M d7-1,not_in_edsm,forward,1,0,Pha Aeb GM-M,GM-M,d7,1
Pha Aeb GM-P b5-1,not_in_edsm,forward,1,0,Pha Aeb GM-P,GM-P,b5,1
Pha Aeb GM-U c16-1,not_in_edsm,forward,1,0,Pha Aeb GM-U,GM-U,c16,1
Pha Aeb GM-V c2-1,not_in_edsm,forward,1,0,Pha Aeb GM-V,GM-V,c2,1
Pha Aeb GN-B c13-1,not_in_edsm,forward,1,0,Pha Aeb GN-B,GN-B,c13,1
Pha Aeb GN-B d13-3,not_in_edsm,forward,1,2,Pha Aeb GN-B,GN-B,d13,3
Pha Aeb GN-K d8-1,not_in_edsm,forward,1,0,Pha Aeb GN-K,GN-K,d8,1
Pha Aeb GN-S c17-1,not_in_edsm,forward,1,0,Pha Aeb GN-S,GN-S,c17,1
Pha Aeb GN-S d4-1,not_in_edsm,forward,1,0,Pha Aeb GN-S,GN-S,d4,1
Pha Aeb GN-W b1-1,not_in_edsm,forward,1,0,Pha Aeb GN-W,GN-W,b1,1
Pha Aeb GN-W c1-2,not_in_edsm,forward,1,1,Pha Aeb GN-W,GN-W,c1,2
Pha Aeb GN-Z c27-1,not_in_edsm,forward,1,0,Pha Aeb GN-Z,GN-Z,c27,1
Pha Aeb GO-T c3-1,not_in_edsm,forward,1,0,Pha Aeb GO-T,GO-T,c3,1
Pha Aeb GO-X c28-1,not_in_edsm,forward,1,0,Pha Aeb GO-X,GO-X,c28,1
Pha Aeb GP-E c25-1,not_in_edsm,forward,1,0,Pha Aeb GP-E,GP-E,c25,1
Pha Aeb GP-I c9-1,not_in_edsm,forward,1,0,Pha Aeb GP-I,GP-I,c9,1
Pha Aeb GP-N c20-1,not_in_edsm,forward,1,0,Pha Aeb GP-N,GP-N,c20,1
Pha Aeb GP-R c4-1,not_in_edsm,forward,1,0,Pha Aeb GP-R,GP-R,c4,1
Pha Aeb GP-Z c13-1,not_in_edsm,forward,1,0,Pha Aeb GP-Z,GP-Z,c13,1
Pha Aeb GQ-B c27-1,not_in_edsm,forward,1,0,Pha Aeb GQ-B,GQ-B,c27,1
Pha Aeb GQ-E c25-1,not_in_edsm,forward,1,0,Pha Aeb GQ-E,GQ-E,c25,1
Pha Aeb GQ-G c10-1,not_in_edsm,forward,1,0,Pha Aeb GQ-G,GQ-G,c10,1
Pha Aeb GQ-G d10-3,not_in_edsm,forward,1,2,Pha Aeb GQ-G,GQ-G,d10,3
Pha Aeb GQ-P c5-1,not_in_edsm,forward,1,0,Pha Aeb GQ-P,GQ-P,c5,1
Pha Aeb GQ-P d5-2,not_in_edsm,forward,1,1,Pha Aeb GQ-P,GQ-P,d5,2
Pha Aeb GR-C c26-1,not_in_edsm,forward,1,0,Pha Aeb GR-C,GR-C,c26,1
Pha Aeb GR-D d12-1,not_in_edsm,forward,1,0,Pha Aeb GR-D,GR-D,d12,1
Pha Aeb GR-M c7-1,not_in_edsm,forward,1,0,Pha Aeb GR-M,GR-M,c7,1
Pha Aeb GR-M d7-1,not_in_edsm,forward,1,0,Pha Aeb GR-M,GR-M,d7,1
Pha Aeb GR-N b6-1,not_in_edsm,forward,1,0,Pha Aeb GR-N,GR-N,b6,1
Pha Aeb GR-N c6-1,not_in_edsm,forward,1,0,Pha Aeb GR-N,GR-N,c6,1
Pha Aeb GR-N d6-4,not_in_edsm,forward,1,3,Pha Aeb GR-N,GR-N,d6,4
Pha Aeb GR-N e6-1,not_in_edsm,forward,1,0,Pha Aeb GR-N,GR-N,e6,1
Pha Aeb GR-V c2-1,not_in_edsm,forward,1,0,Pha Aeb GR-V,GR-V,c2,1
Pha Aeb GR-V d2-1,not_in_edsm,forward,1,0,Pha Aeb GR-V,GR-V,d2,1
Pha Aeb GR-W c1-2,not_in_edsm,forward,1,1,Pha Aeb GR-W,GR-W,c1,2
Pha Aeb GR-W d1-5,not_in_edsm,forward,1,4,Pha Aeb GR-W,GR-W,d1,5
Pha Aeb GS-B c13-1,not_in_edsm,forward,1,0,Pha Aeb GS-B,GS-B,c13,1
Pha Aeb GS-B d13-1,not_in_edsm,forward,1,0,Pha Aeb GS-B,GS-B,d13,1
Pha Aeb GS-J c22-1,not_in_edsm,forward,1,0,Pha Aeb GS-J,GS-J,c22,1
Pha Aeb GS-K b8-1,not_in_edsm,forward,1,0,Pha Aeb GS-K,GS-K,b8,1
Pha Aeb GS-K c8-1,not_in_edsm,forward,1,0,Pha Aeb GS-K,GS-K,c8,1
Pha Aeb GS-K d8-1,not_in_edsm,forward,1,0,Pha Aeb GS-K,GS-K,d8,1
Pha Aeb GS-N c6-1,not_in_edsm,forward,1,0,Pha Aeb GS-N,GS-N,c6,1
Pha Aeb GS-W c1-1,not_in_edsm,forward,1,0,Pha Aeb GS-W,GS-W,c1,1
Pha Aeb GT-Q c18-1,not_in_edsm,forward,1,0,Pha Aeb GT-Q,GT-Q,c18,1
Pha Aeb GT-U b2-1,not_in_edsm,forward,1,0,Pha Aeb GT-U,GT-U,b2,1
Pha Aeb GT-U c2-2,not_in_edsm,forward,1,1,Pha Aeb GT-U,GT-U,c2,2
Pha Aeb GT-X c28-1,not_in_edsm,forward,1,0,Pha Aeb GT-X,GT-X,c28,1
Pha Aeb GT-Z d13-4,not_in_edsm,forward,1,3,Pha Aeb GT-Z,GT-Z,d13,4
Pha Aeb GU-E c25-1,not_in_edsm,forward,1,0,Pha Aeb GU-E,GU-E,c25,1
Pha Aeb GU-Q c18-1,not_in_edsm,forward,1,0,Pha Aeb GU-Q,GU-Q,c18,1
Pha Aeb GU-R c4-1,not_in_edsm,forward,1,0,Pha Aeb GU-R,GU-R,c4,1
Pha Aeb GU-Z c13-1,not_in_edsm,forward,1,0,Pha Aeb GU-Z,GU-Z,c13,1
Pha Aeb GV-C c26-1,not_in_edsm,forward,1,0,Pha Aeb GV-C,GV-C,c26,1
Pha Aeb GV-G c10-1,not_in_edsm,forward,1,0,Pha Aeb GV-G,GV-G,c10,1
Pha Aeb GV-P c5-1,not_in_edsm,forward,1,0,Pha Aeb GV-P,GV-P,c5,1
Pha Aeb GV-P d5-2,not_in_edsm,forward,1,1,Pha Aeb GV-P,GV-P,d5,2
Pha Aeb GV-X c14-1,not_in_edsm,forward,1,0,Pha Aeb GV-X,GV-X,c14,1
Pha Aeb GW-C c26-1,not_in_edsm,forward,1,0,Pha Aeb GW-C,GW-C,c26,1
Pha Aeb GW-D d12-1,not_in_edsm,forward,1,0,Pha Aeb GW-D,GW-D,d12,1
Pha Aeb GW-E c11-1,not_in_edsm,forward,1,0,Pha Aeb GW-E,GW-E,c11,1
Pha Aeb GW-E d11-4,not_in_edsm,forward,1,3,Pha Aeb GW-E,GW-E,d11,4
Pha Aeb GW-N b6-1,not_in_edsm,forward,1,0,Pha Aeb GW-N,GW-N,b6,1
Pha Aeb GW-N c6-1,not_in_edsm,forward,1,0,Pha Aeb GW-N,GW-N,c6,1
Pha Aeb GW-N d6-2,not_in_edsm,forward,1,1,Pha Aeb GW-N,GW-N,d6,2
Pha Aeb GW-N e6-1,not_in_edsm,forward,1,0,Pha Aeb GW-N,GW-N,e6,1
Pha Aeb GW-V c2-1,not_in_edsm,forward,1,0,Pha Aeb GW-V,GW-V,c2,1
Pha Aeb GW-W c1-1,not_in_edsm,forward,1,0,Pha Aeb GW-W,GW-W,c1,1
Pha Aeb GW-W d1-2,not_in_edsm,forward,1,1,Pha Aeb GW-W,GW-W,d1,2
Pha Aeb GX-A c27-1,not_in_edsm,forward,1,0,Pha Aeb GX-A,GX-A,c27,1
Pha Aeb GX-E b11-1,not_in_edsm,forward,1,0,Pha Aeb GX-E,GX-E,b11,1
Pha Aeb GX-J c22-1,not_in_edsm,forward,1,0,Pha Aeb GX-J,GX-J,c22,1
Pha Aeb GX-K c8-1,not_in_edsm,forward,1,0,Pha Aeb GX-K,GX-K,c8,1
Pha Aeb GX-K d8-1,not_in_edsm,forward,1,0,Pha Aeb GX-K,GX-K,d8,1
Pha Aeb GX-L b7-1,not_in_edsm,forward,1,0,Pha Aeb GX-L,GX-L,b7,1
Pha Aeb GX-L c7-1,not_in_edsm,forward,1,0,Pha Aeb GX-L,GX-L,c7,1
Pha Aeb GX-L d7-5,not_in_edsm,forward,1,4,Pha Aeb GX-L,GX-L,d7,5
